Rank,Name,Rating,Year
1,The Dark Knight,9.0,2008
2,Inception,8.0,2010
3,The Matrix,8.0,1999
4,The Lord of the Rings: The Fellowship of the Ring,8.0,2001
5,The Lord of the Rings: The Return of the King,9.0,2003
6,The Dark Knight Rises,8.0,2012
7,The Lord of the Rings: The Two Towers,8.0,2002
8,Gladiator,8.0,2000
9,Batman Begins,8.0,2005
10,The Avengers,8.0,2012
11,Star Wars: Episode IV - A New Hope,8.0,1977
12,Avatar,7.0,2009
13,Star Wars: Episode V - The Empire Strikes Back,8.0,1980
14,Avengers: Endgame,8.0,2019
15,Guardians of the Galaxy,8.0,2014
16,Léon: The Professional,8.0,1994
17,Pirates of the Caribbean: The Curse of the Black Pearl,8.0,2003
18,Avengers: Infinity War,8.0,2018
19,Kill Bill: Vol,8.0,2003
20,V for Vendetta,8.0,2005
21,Terminator 2: Judgment Day,8.0,1991
22,Deadpool,8.0,2016
23,Iron Man,7.0,2008
24,Star Wars: Episode VI - Return of the Jedi,8.0,1983
25,Mad Max: Fury Road,8.0,2015
