Rank,Name,Rating,Year
1,WALL·E,8.0,2008
2,The Lion King,8.0,1994
3,Up,8.0,2009
4,Finding Nemo,8.0,2003
5,Toy Story,8.0,1995
6,"Monsters, Inc",8.0,2001
7,Toy Story 3,8.0,2010
8,Spirited Away,8.0,2001
9,Ratatouille,8.0,2007
10,The Incredibles,8.0,2004
11,Inside Out,8.0,2015
12,How to Train Your Dragon,8.0,2010
13,Shrek,7.0,2001
14,Spider-Man: Into the Spider-Verse,8.0,2018
15,Frozen,7.0,2013
16,Toy Story 2,7.0,1999
17,Coco,8.0,2017
18,Despicable Me,7.0,2010
19,Zootopia,8.0,2016
20,Kung Fu Panda,7.0,2008
21,Ice Age,7.0,2002
22,Shrek 2,7.0,2004
23,Big Hero 6,7.0,2014
24,Tangled,7.0,2010
25,Beauty and the Beast,8.0,1991
