Rank,Name,Rating,Year
1,Django Unchained,8.0,2012
2,The Wolf of Wall Street,8.0,2013
3,Back to the Future,8.0,1985
4,Guardians of the Galaxy,8.0,2014
5,The Truman Show,8.0,1998
6,Deadpool,8.0,2016
7,Up,8.0,2009
8,Finding Nemo,8.0,2003
9,Toy Story,8.0,1995
10,"Monsters, Inc",8.0,2001
11,The Intouchables,8.0,2011
12,Snatch,8.0,2000
13,Toy Story 3,8.0,2010
14,The Grand Budapest Hotel,8.0,2014
15,The Big Lebowski,8.0,1998
16,Once Upon a Time,7.0,2019
17,The Hangover,7.0,2009
18,Ratatouille,8.0,2007
19,Thor: Ragnarok,7.0,2017
20,Inside Out,8.0,2015
21,Amélie,8.0,2001
22,Knives Out,7.0,2019
23,Guardians of the Galaxy Vol,7.0,2017
24,Life Is Beautiful,8.0,1997
25,Silver Linings Playbook,7.0,2012
