Rank,Name,Rating,Year
1,Forrest Gump,8.0,1994
2,Titanic,7.0,1997
3,Eternal Sunshine of the Spotless Mind,8.0,2004
4,Good Will Hunting,8.0,1997
5,Slumdog Millionaire,8.0,2008
6,Amélie,8.0,2001
7,Life Is Beautiful,8.0,1997
8,Silver Linings Playbook,7.0,2012
9,Shrek,7.0,2001
10,The Curious Case of Benjamin Button,7.0,2008
11,Groundhog Day,8.0,1993
12,La La Land,8.0,2016
13,Her,8.0,2013
14,Cast Away,7.0,2000
15,The Notebook,7.0,2004
16,Casablanca,8.0,1942
17,The Great Gatsby,7.0,2013
18,"Crazy, Stupid, Love",7.0,2011
19,500 Days of Summer,7.0,2009
20,Love Actually,7.0,2003
21,Edward Scissorhands,7.0,1990
22,Shrek 2,7.0,2004
23,It's a Wonderful Life,8.0,1946
24,Tangled,7.0,2010
25,The Terminal,7.0,2004
