Rank,Name,rating,Year
1, That Obscure Object of Desire,7.0,1977
2, Family Plot,6.0,1976
3, Blacklight,4.0,2022
4, State of Grace,7.0,1990
5, The Story of Us,6.0,1999
6, Harlem Nights,6.0,1989
7, How to Marry a Millionaire,6.0,1953
8, The Beach Bum,5.0,2019
9, Last Year at Marienbad,7.0,1961
10, Mutiny on the Bounty,7.0,1935
11, The Ice Harvest,6.0,2005
12, Loft,7.0,2008
13, Guru,7.0,2007
14, Fist of Legend,7.0,1994
15, The Contender,6.0,2000
16, Wind Chill,5.0,2007
17, Khosla Ka Ghosla!,8.0,2006
18, Rose Island,7.0,2020
19, The House of the Spirits,6.0,1993
20, Magadheera,7.0,2009
21, The Ox-Bow Incident,8.0,1942
22, Miss Americana,7.0,2020
23, Capricorn One,6.0,1977
24, I Want to Eat Your Pancreas,8.0,2018
25, The War with Grandpa,5.0,2020
